DynamicsColumnName,CleanedColumnName
attachmentid_entitytype,Attachment ID Entity Type
attachmentnumber,Attachment Number
attachmentopencount,Attachment Open Count
attributelogicalname,Attribute Logical Name
attributemapid,Attribute Map ID
attributemapidunique,Attribute Map ID Unique
AttributeName,Attribute Name
AttributeType,Attribute Type
AttributeTypeCode,Attribute Type Code
authorizationreferences,Authorization References
authorname,Author Name
autoapplydefaultoncasecreate,Autoapply Default On Case Create
autoapplydefaultoncaseupdate,Autoapply Default On Case Update
autoapplysla,Autoapply SLA
autocreatecontactonpromote,Autocreate Contact On Promote
automationid,Automation ID
averagetotalduration,Average Total Duration
azureactivedirectoryobjectid,Azure Active Directory Object ID
azureschedulerjobcollectionname,Azure Scheduler Job Collection Name
backgroundcolor,Background Color
baseamount,Basea Mount
baseamount_base,Basea Mount Base
baseconversationindexhash,Base Conversation Index Hash
basecurrencyid,Base Currency ID
basecurrencyid_entitytype,Base Currency ID Entity Type
basecurrencyidname,Base Currency ID Name
basecurrencyprecision,Base Currency Precision
basecurrencysymbol,Base Currency Symbol
baseisocurrencycode,Baseiso Currency Code
baseuom,Base UOM
baseuom_entitytype,Base UOM Entity Type
baseuomname,Base UOM Name
bcc,BCC
begindate,Begin Date
bias,Bias
billedserviceunits,Billed Service Units
billingaccountid,Billing Account ID
billingaccountid_entitytype,Billing Account ID Entity Type
billingaccountidname,Billing Account ID Name
billingaccountidyominame,Billing Account ID Yomi Name
billingcode,Billing Code
billingcontactid,Billing Contact ID
billingcontactid_entitytype,Billing Contact ID Entity Type
billingcontactidname,Billing Contact ID Name
billingcontactidyominame,Billing Contact ID Yomi Name
billingcustomerid,Billing Customer ID
billingcustomerid_entitytype,Billing Customer ID Entity Type
billingcustomeridname,Billing Customer ID Name
billingcustomeridtype,Billing Customer ID Type
billingcustomeridyominame,Billing Customer ID Yomi Name
billingendon,Billing End On Date
billingfrequencycode,Billing Frequency Code
billingstarton,Billing Start On Date
billto_addressid,Billto Address ID
billto_city,Billto City
billto_composite,Billto Composite
billto_contactname,Billto Contact Name
billto_country,Billto Country
billto_fax,Billto Fax
billto_line1,Billto Line 1
billto_line2,Billto Line 2
billto_line3,Billto Line 3
billto_name,Billto Name
billto_postalcode,Billto Postal Code
billto_stateorprovince,Billto State Or Province
billto_telephone,Billto Telephone
billtoaddress,Billto Address
billtoaddress_entitytype,Billto Address Entity Type
billtoaddressname,Billto Address Name
bingmapsapikey,Bing Mapsapi Key
birthdate,Birth Date
blocked,Blocked
blockedattachments,Blocked Attachments
blockedprofile,Blocked Profile
body,Body
bounce,Bounce
bouncescount,Bounce Scount
bounddashboarddefaultcardexpanded,Bound Dashboard Default Card Expanded
bpf_duration,Bpf Duration
bpf_jt_pcaid,Bpf JT Pcaid
bpf_jt_pcaid_entitytype,Bpf JT Pcaid Entity Type
bpf_jt_pcaidname,Bpf JT Pcaid Name
bpf_leadid,Bpf Lead ID
bpf_leadid_entitytype,Bpf Lead ID Entity Type
bpf_leadidname,Bpf Lead ID Name
bpf_leadidyominame,Bpf Lead ID Yomi Name
bpf_name,Bpf Name
bpf_opportunityid,Bpf Opportunity ID
bpf_opportunityid_entitytype,Bpf Opportunity ID Entity Type
bpf_opportunityidname,Bpf Opportunity ID Name
bpf_productpricelevelid,Bpf Product Price Level ID
bpf_productpricelevelid_entitytype,Bpf Product Price Level ID Entity Type
bpf_productpricelevelidname,Bpf Product Price Level ID Name
bpf_quoteid,Bpf Quote ID
bpf_quoteid_entitytype,Bpf Quote ID Entity Type
bpf_quoteidname,Bpf Quote ID Name
bpf_salesorderid,Bpf Sales Order ID
bpf_salesorderid_entitytype,Bpf Sales Order ID Entity Type
bpf_salesorderidname,Bpf Sales Order ID Name
br_biphed,Br Biphed
br_bodylab,Br Bodylab
br_bremenn,Br Bremenn
br_businessunit,Br Business Unit
br_cartabandon,Br Cart Abandon
br_cartabandondate,Br Cart Abandon Date
br_customerid,Br Customer ID
br_customerid_entitytype,Br Customer ID Entity Type
br_customerididtype,Br Customer ID ID Type
br_customeridname,Br Customer ID Name
br_customeridyominame,Br Customer ID Yomi Name
br_expiredbrand,Br Expired Brand
br_ibs,Br Ibs
br_invalidemailstatus,Br Invalid Email Status
br_kleinbecker,Br Kleinbecker
br_myfreediet,Br My Free Diet
br_needbydate,Br Need By Date
br_newsletter,Br News Letter
br_novex,Br Novex
br_priority,Br Priority
br_relacore,Br Relacore
br_sensaclinical,Br Sensa Clinic Al
br_serovital,Br Sero Vital
br_settleddate,Br Settle Ddate
br_thincare,Br Thincare
br_webresource,Br Web Resource
br_webresource_entitytype,Br Web Resource Entity Type
br_webresourcename,Br Web Resource Name
br_webresourceyominame,Br Web Resources Ource Yomi Name
br_websitename,Br Web Site Name
br_webstore,Br Web Store
br_webstorypoints,Br Web Story Point S
br_webtype,Br Web Type
br_zoller,Br Zoller
browser,Browser
budgetamount,Budgetamount
budgetamount_base,Budgetamount Base
budgetedcost,Budget Ed Cost
budgetedcost_base,Budget Ed Cost Base
budgetstatus,Budget Status
bulkoperationprefix,Bulk Operation Prefix
bulktextmessageid,Bulk Text Message ID
bulktxtmessageid,Bulk Text Message ID
business2,Business 2
BusinessCategoryJT,Business Category JT
businessclosurecalendarid,Business Closure Calendar ID
businessprocessflowinstanceid,Business Process Flow In Stance ID
businessprocesstype,Business Process Type
businesstypecode,Business Type Code
businessunitid,Business Unit ID
businessunitid_entitytype,Business Unit ID Entity Type
businessunitidname,Business Unit ID Name
bypassconsent,Bypass Consent
calendarid,Calendar ID
calendarid_entitytype,Calendar ID Entity Type
calendartype,Calendar Type
callback,Callback
caltype,Cal Type
campaignactivityid,Campaign Activity ID
campaignactivityid_entitytype,Campaign Activity ID Entity Type
campaignactivityitemid,Campaign Activity Item ID
campaignid,Campaign ID
campaignid_entitytype,Campaign ID Entity Type
campaignidname,Campaign ID Name
campaignitemid,Campaign Item ID
campaignprefix,Campaign Prefix
canbebasic,Can Be Basic
canbedeep,Can Be Deep
canbedeleted,Can Be Deleted
canbeentityreference,Can Be Entity Reference
canbefollowed,Can Be Followed
canbeglobal,Can Be Global
canbelocal,Can Be Local
canbeparententityreference,Can Be Parent Entity Reference
cancelon,Cancel On Date
cancreate,Can Create
canread,Can Read
canupdate,Can Update
canvasappid,Canvas App ID
canvasapprowid,Canvas App Row ID
captureproposalfeedback,Capture Proposal Feedback
cardtype,Card Type
cardtypeid,Card Type ID
cardtypeid_entitytype,Card Type ID Entity Type
cardtypeidname,Card Type ID Name
cascadestatusupdate,Cascade Status Update
caseorigincode,Case Origin Code
caseprefix,Case Prefix
casetypecode,Case Type Code
category,Category
categoryid,Category ID
categorynumber,Category Number
categoryprefix,Category Prefix
cc,CC
cdi_accountfield,CDI Account Field
cdi_accountfieldlength,CDI Account Field Length
cdi_accountid,CDI Account ID
cdi_accountid_entitytype,CDI Account ID Entity Type
cdi_accountidname,CDI Account ID Name
cdi_accountidyominame,CDI Account ID Yomi Name
cdi_accountscore,CDI Account Score
cdi_actionnodeid,CDI Action Nodeid
cdi_activeinstances,CDI Active Instances
cdi_actualdtartdatetime,CDI Actual Dtartdatetime
cdi_actualdurationminutes,CDI Actual Duration Minutes
cdi_address,CDI Address
cdi_address1,CDI Address 1
cdi_address2,CDI Address 2
cdi_addtomarketinglist,CDI Addto Marketing List
cdi_adobe,CDI Adobe
cdi_age,CDI Age
cdi_alias,CDI Alias
cdi_allowtextmessages,CDI Allow Text Messages
cdi_anonymousvisitor,CDI Anonymous Visitor
cdi_anonymousvisitor_entitytype,CDI Anonymous Visitor Entity Type
cdi_anonymousvisitorid,CDI Anonymous Visitor ID
cdi_anonymousvisitorid_entitytype,CDI Anonymous Visitorid Entity Type
cdi_anonymousvisitoridname,CDI Anonymous Visitorid Name
cdi_anonymousvisitorname,CDI Anonymous Visitor Name
cdi_approvalstatus,CDI Approval Status
cdi_attendancerate,CDI Atten Dance Rate
cdi_automationid,CDI Automation ID
cdi_automationid_entitytype,CDI Automation ID Entity Type
cdi_automationidname,CDI Automation ID Name
cdi_averageattendancedurationminutes,CDI Average Atten Dance Duration Minutes
cdi_averageattendeeinterestrating,CDI Average Attend Ee Interest Rating
cdi_averageattentiveness,CDI Average Attentiveness
cdi_backupowner,CDI Backup Owner
cdi_backupowner_entitytype,CDI Backup Owner Entity Type
cdi_backupownername,CDI Backup Owner Name
cdi_backupowneryominame,CDI Backup Owner Yomi Name
cdi_barcode,CDI Bar Code
cdi_barcodecheckintype,CDI Bar Code Check Intype
cdi_barcodestatus,CDI Bar Code Status
cdi_basepaymentfee,CDI Base Payment Fee
cdi_basepaymentfee_base,CDI Base Payment Fee Base
cdi_bounce,CDI Bounce
cdi_bouncescount,CDI Bounce Scount
cdi_browser,CDI Browser
cdi_bulktextmessageid,CDI Bulk Text Message ID
cdi_bulktextmessageid_entitytype,CDI Bulk Text Message ID Entity Type
cdi_bulktextmessageidname,CDI Bulk Text Message ID Name
cdi_bulktxtmessageid,CDI Bulk Text Message ID
cdi_bulktxtmessageid_entitytype,CDI Bulk Text Message ID Entity Type
cdi_bulktxtmessageidname,CDI Bulk Text Message ID Name
cdi_campaign,CDI Campaign
cdi_campaign_entitytype,CDI Campaign Entity Type
cdi_campaigncode,CDI Campaign Code
cdi_campaignid,CDI Campaign ID
cdi_campaignid_entitytype,CDI Campaign ID Entity Type
cdi_campaignidname,CDI Campaign ID Name
cdi_campaignname,CDI Campaign Name
cdi_capacity,CDI Capacity
cdi_categoryid,CDI Category ID
cdi_categoryid_entitytype,CDI Category ID Entity Type
cdi_categoryidname,CDI Category ID Name
cdi_chosenstrategy,CDI Chosen Strategy
cdi_city,CDI City
cdi_clickedregistrationlink,CDI Clicked Registration Link
cdi_clicks,CDI Clicks
cdi_clicks_date,CDI Clicks Date
cdi_clicks_state,CDI Clicks State
cdi_clickscount,CDI Click Scount
cdi_closed,CDI Closed
cdi_company,CDI Company
cdi_completedinstances,CDI Completed Instances
cdi_connectorname,CDI Connect Or Name
cdi_contact,CDI Contact
cdi_contact_entitytype,CDI Contact Entity Type
cdi_contactfield,CDI Contact Field
cdi_contactfieldlength,CDI Contact Field Length
cdi_contactid,CDI Contact ID
cdi_contactid_entitytype,CDI Contact ID Entity Type
cdi_contactidname,CDI Contact ID Name
cdi_contactidyominame,CDI Contact ID Yomi Name
cdi_contactname,CDI Contact Name
cdi_contactyominame,CDI Contact Yomi Name
cdi_containssocialprofile,CDI Contains Social Profile
cdi_country,CDI Country
cdi_createeventparticipationrecords,CDI Create Event Participation Records
cdi_createnewvisitoras,CDI Create New Visitoras
cdi_customfield1,CDI Custom Field 1
cdi_customfield10,CDI Custom Field 10
cdi_customfield10response,CDI Custom Field 10 Response
cdi_customfield1response,CDI Custom Field 1 Response
cdi_customfield2,CDI Custom Field 2
cdi_customfield2response,CDI Custom Field 2 Response
cdi_customfield3,CDI Custom Field 3
cdi_customfield3response,CDI Custom Field 3 Response
cdi_customfield4,CDI Custom Field 4
cdi_customfield4response,CDI Custom Field 4 Response
cdi_customfield5,CDI Custom Field 5
cdi_customfield5response,CDI Custom Field 5 Response
cdi_customfield6,CDI Custom Field 6
cdi_customfield6response,CDI Custom Field 6 Response
cdi_customfield7,CDI Custom Field 7
cdi_customfield7response,CDI Custom Field 7 Response
cdi_customfield8,CDI Custom Field 8
cdi_customfield8response,CDI Custom Field 8 Response
cdi_customfield9,CDI Custom Field 9
cdi_customfield9response,CDI Custom Field 9 Response
cdi_delivered,CDI Delivered
cdi_deliveriescount,CDI Deliveries Count
cdi_deliverytime,CDI Delivery Time
cdi_delta,CDI Delta
cdi_description,CDI Description
cdi_details,CDI Details
cdi_device,CDI Device
cdi_domainid,CDI Domain ID
cdi_domainid_entitytype,CDI Domain ID Entity Type
cdi_domainidname,CDI Domain ID Name
cdi_duration,CDI Duration
cdi_editortype,CDI Editor Type
cdi_email,CDI Email
cdi_emailaddress,Cdi Email Address
cdi_emailaddressfield,CDI Email Address Field
cdi_emailclient,CDI Email Client
cdi_emailclientpreviewdata,CDI Email Client Preview Data
cdi_emailcnameid,CDI Email C Name ID
cdi_emailcnameid_entitytype,CDI Email C Name ID Entity Type
cdi_emailcnameidname,CDI Email C Name ID Name
cdi_emaileventid,CDI Email Event ID
cdi_emailnotificationaddress,CDI Email Notification Address
cdi_emailsendid,CDI Email Send ID
cdi_emailsendid_entitytype,CDI Email Send ID Entity Type
cdi_emailsendidname,CDI Email Send ID Name
cdi_emailstatisticsid,CDI Email Statistics ID
cdi_emailstatus,CDI Email Status
cdi_emailtemplateid,CDI Email Template ID
cdi_emailtemplateid_entitytype,CDI Email Template ID Entity Type
cdi_emailtemplateid2,CDI Email Template ID 2
cdi_emailtemplateid2_entitytype,Cdi Email Template ID 2 Entity Type
cdi_emailtemplateid2name,CDI Email Template ID 2 Name
cdi_emailtemplateidname,CDI Email Template ID Name
cdi_emailtest,CDI Email Test
cdi_emailtest1,CDI Email Test 1
cdi_endedon,CDI Ended On Date
cdi_entrypage,CDI Entry Page
cdi_errormessage,CDI Error Message
cdi_erroruri,CDI Erroruri
cdi_event,CDI Event
cdi_event_entitytype,CDI Event Entity Type
cdi_eventbritefee,CDI Eventbrite Fee
cdi_eventbritefee_base,CDI Eventbrite Fee Base
cdi_eventid,CDI Event ID
cdi_eventname,CDI Event Name
cdi_eventparticipationid,CDI Event Participation ID
cdi_eventslistid,CDI Events List ID
cdi_eventslistid_entitytype,CDI Events List ID Entity Type
cdi_eventslistidname,CDI Events List ID Name
cdi_eventtopic,CDI Eventtopic
cdi_excludedemailid,CDI Excluded Email ID
cdi_executesendid,CDI Execute Sendid
cdi_executesocialpostid,CDI Execute Social Post ID
cdi_exitpage,CDI Exit Page
cdi_facebook,CDI Facebook
cdi_facebookconnectionid,CDI Facebook Connection ID
cdi_facebookcontent,CDI Facebook Content
cdi_facebookimageurl,CDI Facebook Image URL
cdi_failed,CDI Failed
cdi_failures,CDI Failures
cdi_fieldid,CDI Field ID
cdi_filterid,CDI Filter ID
cdi_firstname,CDI First Name
cdi_firstvisit,CDI First Visit
cdi_flash,CDI Flash
cdi_formcapturefieldid,CDI Form Capture Field ID
cdi_formcaptureid,CDI Form Capture ID
cdi_formcaptureid_entitytype,CDI Form Capture ID Entity Type
cdi_formcaptureidname,CDI Form Capture ID Name
cdi_formfieldid,CDI Form Field ID
cdi_formfieldid_entitytype,CDI Form Field ID Entity Type
cdi_formfieldidname,CDI Form Field ID Name
cdi_formtag,CDI Form Tag
cdi_from,CDI From
cdi_fromemail,CDI From Email
cdi_fromemail2,CDI From Email 2
cdi_fromid,CDI From ID
cdi_fromid_entitytype,CDI From ID Entity Type
cdi_fromidname,CDI From ID Name
cdi_fromidyominame,CDI From ID Yomi Name
cdi_fromname,CDI From Name
cdi_fromname2,CDI From Name 2
cdi_fromrecordowner,CDI From Record Owner
cdi_fromrecordowner2,CDI From Record Owner 2
cdi_fromuserid,CDI From User ID
cdi_fromuserid_entitytype,CDI From User ID Entity Type
cdi_fromuseridname,CDI From User ID Name
cdi_fromuseridyominame,CDI From User ID Yomi Name
cdi_grade,CDI Grade
cdi_gtracking,CDI G Tracking
cdi_hasmanualtrigger,CDI Has Manual Trigger
cdi_host,CDI Host
cdi_id,CDI ID
cdi_identifiedon,CDI Identified On Date
cdi_image,CDI Image
cdi_importfile,CDI Import File
cdi_importfinishedon,CDI Import Finished On Date
cdi_importid,CDI Import ID
cdi_importstartedon,CDI Import Started On Date
cdi_importstatus,CDI Import Status
cdi_incidentid,CDI Incident ID
cdi_incidentid_entitytype,CDI Incident ID Entity Type
cdi_incidentidname,CDI Incident ID Name
cdi_includeotheroption,CDI Include Other Option
cdi_industry,CDI Industry
cdi_insessiondurationminutes,CDI In Session Duration Minutes
cdi_interestrating,CDI Interest Rating
cdi_ip,CID IP
cdi_iporganizationid,CID IP Organization ID
cdi_iporganizationid_entitytype,CID IP Organization ID Entity Type
cdi_iporganizationidname,CID IP Organization ID Name
cdi_isverified,CDI Is Verified
cdi_jobtitle,CDI Job Title
cdi_jointime,CDI Joint Ime
cdi_key,CDI Key
cdi_keywords,CDI Keywords
cdi_label,CDI Label
cdi_language,CDI Language
cdi_lastname,CDI Last Name
cdi_latitude,CDI Latitude
cdi_lead,CDI Lead
cdi_lead_entitytype,CDI Lead Entity Type
cdi_leadfield,CDI Lead Field
cdi_leadfieldlength,CDI Lead Field Length
cdi_leadid,CDI Lead ID
cdi_leadid_entitytype,CDI Lead ID Entity Type
cdi_leadidname,CDI Lead ID Name
cdi_leadidyominame,CDI Lead ID Yomi Name
cdi_leadname,CDI Lead Name
cdi_leadyominame,CDI Lead Yomi Name
cdi_leavetime,CDI Leave Time
cdi_link,CDI Link
cdi_linkclicked,CDI Link Clicked
cdi_linkedin,CDI Linkedin
cdi_location,CDI Location
cdi_longitude,CDI Longitude
cdi_mapping,CDI Mapping
cdi_marketinglistsforattachid,CDI Marketing Lists For Attach ID
cdi_marketinglistsforattachid_entitytype,CDI Marketing Lists For Attach ID Entity Type
cdi_marketinglistsforattachidname,CDI Marketing Lists For Attach ID Name
cdi_marketinglistsfordetachid,CDI Marketing Lists For Detach ID
cdi_marketinglistsfordetachid_entitytype,CDI Marketing Lists For Detach ID Entity Type
cdi_marketinglistsfordetachidname,CDI Marketing Lists For Detach ID Name
cdi_message,CDI Message
cdi_messagecount,CDI Message Count
cdi_messageid,CDI Message ID
cdi_messages,CDI Messages
cdi_mobilephone,CDI Mobile Phone
cdi_name,CDI Name
cdi_newrecords,CDI New Records
cdi_numberofsurveyssubmitted,CDI Number Of Surveys Submitted
cdi_numberregistered,CDI Number Register Ed
cdi_openedinvitation,CDI Opened Invitation
cdi_openscount,CDI Opens Count
cdi_operatingsystem,CDI Opera Ting System
cdi_options,CDI Options
cdi_organization,CDI Organization
cdi_organizer,CDI Organizer
cdi_organizerdescription,CDI Organizer Description
cdi_orgkey,CDI Orgkey
cdi_os,CDI OS
cdi_otheroptionlabel,CDI Other Option Label
cdi_override,CDI Override
cdi_pageviewid,CDI Page View ID
cdi_parenteventid,CDI Parent Event ID
cdi_parenteventid_entitytype,CDI Parent Event ID Entity Type
cdi_parenteventidname,CDI Parent Event ID Name
cdi_partitionkey,CDI Partition Key
cdi_performsplittest,CDI Per Form Split Test
cdi_phone,CDI Phone
cdi_phonenumber,CDI Phone Number
cdi_platform,CDI Plat Form
cdi_polls,CDI Polls
cdi_pollsresponserate,CDI Polls Response Rate
cdi_postalcode,CDI Postal Code
cdi_postcontent,CDI Post Content
cdi_postedfacebookaddress,CDI Posted Facebook Address
cdi_postedfieldid,CDI Posted Field ID
cdi_postedformid,CDI Posted Form ID
cdi_postedformid_entitytype,CDI Posted Form ID Entity Type
cdi_postedformidname,CDI Posted Form ID Name
cdi_postedlabel,CDI Posted Label
cdi_postedon,CDI Posted On Date
cdi_postedsubscriptionid,CDI Posted Subscription ID
cdi_postedsubscriptionid_entitytype,CDI Posted Subscription ID Entity Type
cdi_postedsubscriptionidname,CDI Posted Subscription ID Name
cdi_postedsurveyid,CDI Posted Survey ID
cdi_postedsurveyid_entitytype,CDI Posted Survey ID Entity Type
cdi_postedsurveyidname,CDI Posted Survey ID Name
cdi_postid,CDI Post ID
cdi_postimmediately,CDI Post Immediately
cdi_poston,CDI Post On Date
cdi_posttofacebook,CDI Postto Facebook
cdi_preference,CDI Preference
cdi_preheader,CDI Preheader
cdi_priority,CDI Priority
cdi_profileid,CDI Profile ID
cdi_profileid_entitytype,CDI Profile ID Entity Type
cdi_profileidname,CDI Profile ID Name
cdi_profilename,CDI Profile Name
cdi_qaquestionsasked,Cdiqa Question Sasked
cdi_quantity,CDI Quantity
cdi_question,CDI Question
cdi_questionsandcomments,CDI Questionsand Comments
cdi_questionsaskedbyattendee,CDI Questions Asked By Attendee
cdi_quicksendtemplate,CDI Quick Send Template
cdi_reason,CDI Reason
cdi_recipientsgrid,CDI Recipients Grid
cdi_recipientxml,CDI Recipient XML
cdi_referrer,CDI Referrer
cdi_referringhost,CDI Referring Host
cdi_registrantkey,CDI Registrant Key
cdi_registrationapprovalmethod,CDI Registration Approval Method
cdi_registrationdate,CDI Registration Date
cdi_registrationstatus,CDI Registration Status
cdi_registrationurl,CDI Registration URL
cdi_removefrommarketinglist,CDI Remove From Marketing List
cdi_renderedhtml,CDI Rendered Html
